StationUniqueId,AreaName,Lat,Lon,Name
910GSACTON,BRI,51.49927,-0.27049,South Acton
910GSBURY,Entr,51.64887,-0.05263,Southbury
910GSCROYDN,Ent1,51.36283,-0.09378,South Croydon
910GSHENFLD,Entr,51.63087,0.32937,Shenfield
910GSHLIER,Bus,51.3895,-0.19683,St Helier (London)
910GSHMPSTD,Entr,51.54147,-0.17937,South Hampstead
910GSHRDHST,BusB,51.52408,-0.07964,Shoreditch High Street
910GSHRTLND,Bus,51.40518,0.00088,Shortlands
910GSIVRST,ANGEL,51.61474,-0.06719,Silver Street
910GSLADEGN,EntC,51.46769,0.1905,Slade Green
910GSLOUGH,EntB,51.5118,-0.59158,Slough
910GSMERTON,Bus,51.40277,-0.20568,South Merton
910GSTHALL,Bus,51.50579,-0.37879,Southall
910GSTJMSST,Bus,51.58084,-0.03311,St James Street
910GSTKNWNG,Bus,51.56474,-0.07307,Stoke Newington
910GSTMFDHL,Bus,51.57446,-0.07752,Stamford Hill
910GSTMRYC,Bus,51.39571,0.10715,St Mary Cray
910GSTOTNHM,Bus,51.58056,-0.07263,South Tottenham
910GSTRETHM,Bus,51.42562,-0.13065,Streatham
910GSURREYQ,A-LOW,51.49354,-0.04795,Surrey Quays
910GSUTTON,Bus H,51.35955,-0.19142,Sutton
910GSUTTONC,Bus,51.37505,-0.19668,Sutton Common
910GSVNKNGS,Bus,51.56445,0.09872,Seven Kings
910GSWLY,EntE,51.39378,0.16845,Swanley
910GTAPLOW,Bus,51.52356,-0.68137,Taplow
910GTHBLDSG,Bus,51.69274,-0.03438,Theobalds Grove
910GTOOTING,Bus,51.42072,-0.16103,Tooting
910GTULSEH,BRI,51.43955,-0.10526,Tulse Hill
910GTURKYST,Bus,51.67231,-0.04759,Turkey Street
910GTWYFORD,Bdg,51.47544,-0.86315,Twyford
910GUPRHLWY,Bus,51.56385,-0.12927,Upper Holloway
910GWAPPING,A-WAP,51.50438,-0.05599,Wapping
910GWATFDHS,Entr,51.65256,-0.39141,Watford High Street
910GWCOMBEP,Bus,51.48323,0.01976,Westcombe Park
910GWDGRNPK,Bus,51.54919,0.04342,Woodgrange Park
910GWDRYTON,Bus,51.51019,-0.47318,West Drayton
910GWDST,Bus,51.58669,-0.00273,Wood Street
910GWEALING,Bus,51.51417,-0.32047,West Ealing
910GWHHRTLA,Bus,51.6053,-0.06878,White Hart Lane
910GWHMDSTD,ENTBR,51.54747,-0.19116,West Hampstead
910GWHMPSTM,Bus,51.54846,-0.19107,West Hampstead Thameslink
910GWIMLCHS,Bus,51.40936,-0.21335,Wimbledon Chase
910GWLTHQRD,Entr,51.58148,-0.02411,Walthamstow Queen's Road
910GWNDSWRD,Bdge,51.47,-0.13846,Wandsworth Road
910GWNSTDPK,Bus,51.55141,0.02529,Wanstead Park
910GWOLWXR,BH,51.49207,0.07069,Woolwich
910GWSUTTON,BUS,51.36623,-0.20553,West Sutton
940GZZALGWP,MET,51.49986,0.00799,IFS Cloud Greenwich Peninsula
940GZZALRDK,Bus,51.50809,0.01787,IFS Cloud Royal Docks
940GZZBPSUST,BH,51.47993,-0.14214,Battersea Power Station
940GZZCRADD,Bus,51.38015,-0.07336,Addiscombe
940GZZCRADV,ENT,51.35649,-0.0324,Addington Village
940GZZCRAMP,ENTE,51.38214,-0.12344,Ampere Way
940GZZCRARA,Bus,51.38933,-0.05653,Arena
940GZZCRAVE,ENT,51.40689,-0.04888,Avenue Road
940GZZCRBED,Bus,51.38811,-0.14108,Beddington Lane
940GZZCRBGV,BUS,51.39934,-0.17952,Belgrave Walk
940GZZCRBLA,Bus,51.38568,-0.07174,Blackhorse Lane
940GZZCRBRD,Bus,51.40936,-0.04363,Beckenham Road
940GZZCRCEN,ENT,51.37398,-0.09875,George Street
940GZZCRCHR,Bus,51.37401,-0.10508,Church Street
940GZZCRCOO,Bus,51.35936,-0.05547,Coombe Lane
940GZZCRCTR,Bus,51.37586,-0.10377,Centrale
940GZZCRDDR,ENT,51.41743,-0.20751,Dundonald Road
940GZZCRFLD,Bus,51.3509,-0.02393,Fieldway
940GZZCRGRA,Bus1,51.35279,-0.03751,Gravel Hill
940GZZCRHAR,ENT,51.39944,-0.06038,Harrington Road
940GZZCRKGH,Bus,51.34558,-0.02053,King Henry's Drive
940GZZCRLEB,Bus,51.37518,-0.08469,Lebanon Road
940GZZCRLOY,Bus,51.36424,-0.08178,Lloyd Park
940GZZCRMCH,Bus,51.3974,-0.17289,Mitcham
940GZZCRMDN,Bus,51.40929,-0.19239,Morden Road
940GZZCRMTP,Bus,51.4148,-0.20143,Merton Park
940GZZCRNWA,Bus,51.34313,-0.01781,New Addington
940GZZCRPHI,BUS,51.40423,-0.18225,Phipps Bridge
940GZZCRRVC,ENT,51.37474,-0.10624,Reeves Corner
940GZZCRSAN,Bus,51.37516,-0.07891,Sandilands
940GZZCRTPA,Bus,51.38597,-0.13089,Therapia Lane
940GZZCRWAD,BUS,51.37668,-0.11835,Waddon Marsh
940GZZCRWAN,ENT,51.37316,-0.1131,Wandle Park
940GZZCRWEL,ENT,51.37537,-0.09755,Wellesley Road
940GZZCRWOD,BUSN,51.38825,-0.06484,Woodside
940GZZDLABR,ABBEY,51.53209,0.00383,Abbey Road
940GZZDLALL,BUS,51.5112,-0.01311,All Saints
940GZZDLBEC,Bus,51.51474,0.06065,Beckton
940GZZDLBLA,Bus,51.50827,-0.00713,Blackwall
940GZZDLBOW,BOWRD,51.52781,-0.02094,Bow Church
940GZZDLBPK,BRDGE,51.50877,0.05497,Beckton Park
940GZZDLCLA,Bus,51.49592,-0.01414,Crossharbour
940GZZDLCYP,BRDGE,51.50849,0.06398,Cyprus
940GZZDLDEP,BCQ,51.47441,-0.02279,Deptford Bridge
940GZZDLDEV,CONC,51.52259,-0.01737,Devons Road
940GZZDLEIN,ASPEN,51.50944,-0.00263,East India
940GZZDLELV,Bus,51.46844,-0.01876,Elverson Road
940GZZDLGAL,Bus,51.50857,0.07249,Gallions Reach
940GZZDLHEQ,Bus,51.50324,-0.02089,Heron Quays
940GZZDLISL,Bus,51.48767,-0.01036,Island Gardens
940GZZDLKGV,BridE,51.50192,0.06304,King George V
940GZZDLLDP,BOOKH,51.51512,-0.01427,Langdon Park
940GZZDLMUD,Bus,51.49066,-0.01454,Mudchute
940GZZDLPDK,DLR-E,51.5023,0.0334,Pontoon Dock
940GZZDLPOP,ASPEN,51.50743,-0.01786,Poplar
940GZZDLPRE,Bridg,51.50918,0.03405,Prince Regent
940GZZDLPUD,BOOK,51.53406,-0.01315,Pudding Mill Lane
940GZZDLRAL,Bus,51.50811,0.04637,Royal Albert
940GZZDLRVC,BookH,51.50921,0.01863,Royal Victoria
940GZZDLSHS,B+R,51.53765,5e-05,Stratford High Street
940GZZDLSIT,BH-E,51.54583,-0.00855,Stratford International
940GZZDLSOQ,DLR-N,51.50001,-0.01638,South Quay
940GZZDLSTL,B+R,51.52072,0.00454,Star Lane
940GZZDLWFE,BUS,51.50899,-0.02674,Westferry
940GZZDLWIQ,CONC,51.50698,-0.0204,West India Quay
940GZZDLWSV,Bus,51.50287,0.02337,West Silvertown
940GZZLUACT,A-GUN,51.50301,-0.28042,Acton Town
940GZZLUACY,A-JUN,51.56524,-0.13476,Archway
940GZZLUADE,A-W/C,51.5153,-0.07208,Aldgate East
940GZZLUAGL,A-UPP,51.53279,-0.10599,Angel
940GZZLUALD,ALDGA,51.51405,-0.07528,Aldgate
940GZZLUALP,A-EAL,51.54063,-0.29913,Alperton
